CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2886,11310.74,376.74,569.1,540.9,556.13,251.58,275.81,1380.35,1223.903226,1029.096774,31,8.215550272,4.906731462,0.802055672,0.911764706,0.688888889,0.027238767
2887,24310.04,570.78,494.64,553.26,472.64,285.26,328.52,1776.72,1839,1028.34,50,9.765657182,6.67400478,0.73002931,0.892857143,0.568181818,-1.558202946
2888,28432.78,882.27,288.3,675.72,703.99,313.61,370.05,1847.14,2148.171875,1030.820313,128,15.10078666,11.08386144,0.679157768,0.895104895,0.656410256,-0.874616969
2889,17847,425.49,476.7,682.16,842.35,385.95,387.92,1943.38,2237.918919,1028.837838,37,7.70544542,6.255174383,0.58395474,0.880952381,0.660714286,-0.306970846
2890,41071.13,501.52,356.17,641.66,462.42,300.64,364.02,817.03,828.1875,1030.03125,64,11.67992667,7.582953772,0.760592509,0.820512821,0.592592593,1.492469656
2891,27315.73,1259.42,298.03,732.07,912.2,349.92,405.29,1876.03,1857.188976,1031.03937,127,16.20201165,10.73449272,0.749025883,0.852348993,0.641414141,-1.384345556
2892,24831.05,1372.39,285.39,794.75,1040.33,390.3,446.83,1653.16,1873.639785,1033.88172,186,19.22000733,13.86226413,0.692683844,0.841628959,0.543859649,0.668207049
2893,40837.49,504.79,401.08,633.69,634.56,405.9,361.77,1735.64,1930.871795,1029.282051,39,7.90951952,6.333150676,0.599065802,0.928571429,0.619047619,-1.372103286
2894,34592.21,481.94,323.33,556.18,372.06,308.82,319.39,1581.52,2373.272727,1030.212121,33,10.19202546,4.167028079,0.912600787,0.891891892,0.66,-0.12405453
2895,18421.2,954.3,308.66,668.16,708.92,344.36,407.99,980.59,631.6987952,1032.240964,83,13.490247,8.406472137,0.782100885,0.864583333,0.58041958,-0.417346749
2896,25934.88,1119.4,277.97,733.95,862.52,319.79,393.75,1311.67,1115.758621,1031.094828,116,16.46205724,9.354719573,0.822849439,0.878787879,0.659090909,-1.323826301
2897,25065.87,1066.14,294.67,710.95,893.44,345.29,400.25,1731.16,1238.960317,1034.214286,126,15.8575779,10.48504002,0.750209148,0.90647482,0.65625,0.173079293
2898,24349.53,1084.27,295.17,767.24,908.22,363.78,431.17,1811.94,1342.238532,1033.477064,109,15.11452013,9.560499234,0.774529819,0.886178862,0.556122449,-0.845851004
2899,23190.3,959.04,279.36,643.1,802.2,326.61,416.89,2098.61,1430.921875,1033.890625,192,20.8818777,12.48965389,0.801414232,0.860986547,0.60952381,1.229357499
2900,25491.8,1136.06,302.11,658.72,970.07,325.61,387.5,4345.31,1822.222222,1030.740741,54,9.203646149,8.033581978,0.48795373,0.857142857,0.545454545,1.480528911
2901,32291.69,1872.07,348.25,1114.61,1490.62,420.72,451.33,933.74,515.3684211,1037.561404,114,19.08826327,7.969403802,0.908675626,0.904761905,0.57,0.189435528
2902,17880.97,975.98,278.58,717.97,709.17,317.08,397.49,1318.61,1098.356757,1034.897297,185,23.2229508,10.76444,0.886083352,0.872641509,0.600649351,-1.34319809
2903,10191,1629.25,277.77,804.38,887.17,365.09,392.15,2219.02,1657.622642,1032.603774,53,9.20941152,7.656555211,0.555698693,0.913793103,0.654320988,0.726322865
2904,33715.78,791.35,1768.8,1053.67,4730.57,1617.61,339.75,1941.41,2248.941176,1032.607843,51,9.24829675,7.180591546,0.630211962,0.962264151,0.6375,-0.1517125
2905,29022.48,887.68,278.74,699.98,580.77,360.76,397.17,1861.89,2278.757576,1033.318182,66,9.930433399,8.775429549,0.468071703,0.942857143,0.6,-0.383261703
2906,22887.42,463.54,450.11,607.93,432.99,333.41,326.13,1602.32,2477.370968,1037.895161,124,21.48246843,7.96747497,0.928679737,0.805194805,0.502024291,-0.437189824
2907,16264.94,452.77,282.59,536.51,464.55,283.41,329.37,1723.3,1071.804124,1036.618557,97,16.91983776,7.384429788,0.899735205,0.906542056,0.633986928,0.2196319
2908,30195.33,1207.55,289.16,722.12,863.81,334.93,406.93,2098.38,1811.583333,1034.111111,108,14.0188322,11.27668842,0.594093888,0.818181818,0.6,-1.236817048
2909,21757.04,1427.38,356.97,759.14,928.36,347.06,393.34,4073.92,1831.675325,1033.207792,77,11.34668726,8.885558144,0.621899427,0.905882353,0.641666667,1.157167471
2910,28870.36,1209.46,301.47,717.42,848.34,368.11,420.87,1501.36,1886.73494,1033.289157,83,12.68133028,9.157210094,0.691786919,0.882978723,0.592857143,1.151859549
2911,8896.34,468.08,418.08,538.18,455.92,307.37,333.76,1879.45,2588.105263,1033.236842,38,8.127107655,6.141452124,0.654946781,0.88372093,0.603174603,0.000782166
2912,26568.36,875.97,301.3,702.42,743.64,322.75,421.37,965.62,639.6956522,1035.852174,115,15.53393292,9.97017433,0.766845329,0.877862595,0.58974359,-0.846270678
2913,46589.34,640.51,1367,597.78,3388.17,1628.54,314.2,600.9,761.3902439,1032.878049,41,9.274531705,5.647462177,0.793230453,0.976190476,0.650793651,-1.047283393
2914,32340.66,828.5,282.1,668.94,692.84,308.7,398.45,1152.97,917.2093023,1037,86,14.50569848,8.198132326,0.824976983,0.796296296,0.521212121,-0.533369002
2915,20336.07,907.91,275.9,591.56,663.54,331.57,379.87,2113.21,1597.557471,1037.95977,174,18.84460237,12.56056274,0.745474891,0.896907216,0.53869969,-0.785446364
2916,23437.44,1206.17,281.92,737.23,999.38,426.83,409.06,1742.23,2457.575758,1035.621212,66,11.47964844,7.754559343,0.737355452,0.88,0.75,-0.015587091
2917,35122.64,1112.81,2721.21,2349.45,4258.88,304.84,297.49,627.58,537.238806,1035.835821,67,10.9082717,7.98656887,0.681135773,0.905405405,0.67,0.932388122
